lsoa_code,population_density
E01002792,17504.7
E01002722,17048.4
E01002797,16780.1
E01002798,14274.4
E01002799,22553.2
E01002800,21313.3
E01002694,23751.8
E01002697,17664
E01002709,21061.2
E01002710,11495.3
E01002715,29152.2
E01002696,11796.1
E01002794,11295.7
E01002801,13644.9
E01002802,17075.6
E01002695,12440.9
E01002711,13401.6
E01002727,13074.3
E01002728,14472.5
E01002729,11375.4
E01002707,15328.3
E01002723,16000
E01002724,7284.1
E01002725,22278.7
E01002726,10142.3
E01033489,15449.7
E01033490,11648.6
E01002701,17732.2
E01002702,21312.6
E01002703,27220.9
E01002704,7030.7
E01002706,14963.3
E01002852,4309.6
E01002853,22488.2
E01002854,8583.7
E01002855,15033.1
E01002857,22933.3
E01002904,13028.2
E01002905,9922.8
E01002906,9044.9
E01002907,24664.1
E01002876,14679.5
E01002877,13019.7
E01002878,11850.9
E01002908,14460.6
E01002909,21460.2
E01002829,24065.7
E01002830,23140.9
E01002831,15575.7
E01002832,21587.3
E01002856,18356.9
E01002870,12602.8
E01002872,13911.2
E01002879,22894.1
E01002880,17736.4
E01002881,23225.3
E01002882,8841.9
E01002883,12757.1
E01002884,17974
E01002885,24407.4
E01002886,10748
E01002833,16712.7
E01002871,11202.1
E01002873,10469.2
E01002874,13679.1
E01002875,7889.8
E01002824,8144.5
E01002825,9301.7
E01002826,5709.1
E01002827,6786.7
E01002828,12372.5
E01002864,4994.9
E01002866,11616
E01002867,15864
E01002868,5497
E01002869,17159.8
E01002887,13576.1
E01002889,13070.5
E01002890,8898.8
E01002891,11983.8
E01002892,17598.9
E01002813,13405.6
E01002815,18140.6
E01002816,17777.8
E01002817,8556.9
E01002865,11069.5
E01002818,7324.2
E01002819,5074.6
E01002859,9750.2
E01002860,10287.8
E01002863,8993.6
E01002812,16440.3
E01002834,19951.8
E01002839,24428.6
E01002850,18833.8
E01002888,19623.1
E01002821,5646.3
E01002823,15223.9
E01002858,22500
E01002861,14570.8
E01002862,24750
E01002814,15253.1
E01002847,19293.6
E01002848,15256.1
E01002851,22225.9
E01002835,9387.9
E01002836,18118.9
E01002837,16101.7
E01002846,12218
E01002849,23759.6
E01002893,16081.6
E01002894,13024.6
E01002898,12993
E01002899,16751.7
E01002900,13141.5
E01002901,3206.2
E01002902,8871.2
E01002903,11537.1
E01002844,9264.9
E01002845,16605.1
E01002910,9613.8
E01002911,10637.4
E01002914,6704.1
E01002896,13949
E01002897,10419
E01002912,13199.6
E01002840,11764
E01002841,10933.6
E01002842,55769.2
E01002843,19242.2
E01002913,16141.2
E01003015,18000
E01003108,19375.8
E01003110,13603.2
E01003111,26938.8
E01003112,12061.8
E01003101,12355.5
E01003105,17807.9
E01003106,17941.2
E01003107,14293.4
E01003102,10271.1
E01003104,21263.8
E01003122,18477.2
E01003129,20810.2
E01033208,33774.7
E01003098,18447.2
E01003099,5589.9
E01003100,19822.8
E01003180,11371.7
E01003183,10566.5
E01003097,15881.8
E01003121,25553.7
E01003123,11021.4
E01003124,16642.1
E01003125,24458.2
E01003181,18697.8
E01003184,25529.6
E01003185,21931.8
E01003186,11685.8
E01003187,16339.9
E01003089,14670.2
E01003091,21281.1
E01003092,14908.1
E01003126,17034.8
E01003128,18927.3
E01003046,17721.5
E01003048,15757.8
E01003075,21971.8
E01003182,9900.3
E01003188,15629.6
E01003088,16822
E01003093,31294.3
E01003094,18228.8
E01003096,14663.9
E01003127,15577.1
E01003045,17440.8
E01003047,9900.4
E01003049,14869.6
E01003059,28554.8
E01003060,19906.1
E01003061,16738
E01003034,14315.6
E01003035,14333.1
E01003036,15566.4
E01003090,16905.1
E01003095,10600.4
E01003037,12604.9
E01003038,12806.6
E01003039,11043.8
E01003040,8256
E01003042,11579.5
E01003072,8371.1
E01003073,9490.8
E01003076,7181.6
E01003077,18017.4
E01003078,7795.9
E01003019,13530.6
E01003053,14443.5
E01003054,25011.4
E01003056,20541.5
E01003058,21723.4
E01003020,12663.4
E01003050,16146.8
E01003052,17680.7
E01003055,11695.9
