lsoa_code,building_density
E01003185,33.26209009
E01003186,20.97720915
E01003187,27.34400807
E01003089,21.91961251
E01003091,26.80990906
E01003092,28.02818842
E01003126,23.20477537
E01003128,24.86776246
E01003046,30.25941104
E01003048,13.96727852
E01003075,27.61164312
E01003182,25.2739926
E01003188,27.07114299
E01003088,29.19473843
E01003093,26.11731946
E01003094,36.44946823
E01003096,31.72356345
E01003127,35.15837004
E01003045,25.38679684
E01003047,28.97735646
E01003049,24.1617714
E01003059,36.84340429
E01003060,31.4513674
E01003061,39.24085882
E01003034,27.41090312
E01003035,41.03806423
E01003036,30.93994316
E01003090,32.67919985
E01003095,24.57026778
E01003037,33.46735049
E01003038,30.81982506
E01003039,30.95574883
E01003040,25.531078
E01003042,21.80966272
E01003072,23.73099544
E01003073,35.1211091
E01003076,33.20648316
E01003077,29.37287671
E01003078,24.08549333
E01003019,38.79922184
E01003053,37.26484507
E01003054,40.0235561
E01003056,33.47288599
E01003058,40.79988728
E01003020,36.00833619
E01003050,33.66895928
E01003052,31.08021063
E01003055,28.16309737
E01003176,18.17410226
E01003029,33.01798387
E01003032,27.14348776
E01003041,31.19291511
E01003057,25.62425551
E01003043,34.44114455
E01003044,30.26175428
E01003051,24.99364893
E01003071,28.64291029
E01003074,6.755734152
E01003026,10.94940892
E01003027,32.22212129
E01003028,30.33676517
E01003030,23.42889776
E01003033,38.86152395
E01003018,37.91071286
E01003171,33.04975119
E01003173,36.26900656
E01003177,30.06798001
E01003178,30.38672849
E01003021,25.14143181
E01003022,27.93467154
E01003023,38.16203302
E01003024,21.92951673
E01003025,25.22543347
E01003136,22.26470972
E01003137,16.91757467
E01003159,26.76229451
E01003160,15.01307922
E01003162,19.83094588
E01003031,24.11664729
E01003156,28.65847842
E01003157,44.92937286
E01003158,32.22416494
E01003161,29.50197608
E01003163,20.7022519
E01003132,20.47054196
E01003172,23.93048595
E01003174,26.95630702
E01003175,21.20698592
E01003179,31.41967898
E01003164,23.0030663
E01003165,23.34708338
E01003168,13.19211705
E01003169,35.4943991
E01003170,23.50428869
E01003130,28.83599491
E01003131,26.03139053
E01003135,31.64296904
E01003138,27.83695063
E01003151,23.23987778
E01003079,17.05691893
E01003080,25.03320452
E01003133,20.67460984
E01003134,25.31155443
E01003152,35.57412778
E01003064,31.23036816
E01003066,59.08855323
E01003081,33.16645141
E01003166,31.66160664
E01003167,24.71989766
E01003116,31.28112553
E01003117,29.9006263
E01003118,27.06133338
E01003153,31.32319853
E01003155,26.42670936
E01003083,24.43019855
E01003084,28.90788518
E01003085,19.17480622
E01003149,28.79113525
E01003154,25.57408031
E01003065,23.26475707
E01003068,18.48443596
E01003082,25.69893586
E01003086,32.88799804
E01003087,18.80621187
E01003113,24.99188726
E01003114,25.24579717
E01003119,26.54000136
E01003120,34.01235019
E01003148,23.75359442
E01003150,22.89174004
E01003062,30.17139037
E01003063,21.94233432
E01003067,27.03203486
E01003069,10.23475463
E01003070,20.08277878
E01003115,28.13774628
E01003141,23.97339025
E01003144,10.15623858
E01003145,28.22205358
E01003147,24.31215673
E01003139,23.89118079
E01003140,30.86083777
E01003142,33.57824972
E01003143,22.76223453
E01003146,23.78400606
E01003013,39.21747611
E01003014,18.93004268
E01003016,35.91199982
E01003017,33.26754793
E01032582,24.98033801
E01003244,15.9629577
E01003245,19.5092761
E01003247,24.9706146
E01003249,19.04937826
E01003246,22.52597936
E01003248,13.2169514
E01003251,14.28745078
E01003252,19.75385078
E01003253,29.44784567
E01003297,18.27906229
E01003299,26.20179309
E01003301,22.09089007
E01003302,22.16791746
E01003305,30.50597813
E01003207,30.35274144
E01003209,28.30034837
E01003210,25.73334776
E01003212,22.23471662
E01003215,41.72586597
E01003338,27.3533189
E01003339,25.81306407
E01003340,28.10721037
E01003341,18.2206814
E01003343,22.03312443
E01003199,31.05546021
E01003201,22.65556412
E01003204,11.9370979
E01003205,18.23425088
E01003206,15.74261692
E01003211,23.96734308
E01003213,18.97950478
E01003214,22.71600952
E01033324,22.49424827
E01033325,19.7526114
E01003198,22.86780196
E01003200,8.271112908
E01003202,19.95753976
E01003203,24.62627859
E01003336,18.82013366
E01003337,18.86944471
E01003342,28.7513109
E01003344,25.1987781
E01003345,26.2182675
E01003273,16.39746025
E01003277,23.95034905
E01003278,27.26326845
E01003279,20.48436786
E01003282,22.56616566
E01003283,23.82333017
E01003284,24.68985198
E01003286,24.24305201
E01003272,28.3172313
E01003274,24.55656076
E01003275,18.11867243
E01003276,43.89072886
E01003225,34.49182653
E01003231,26.52501309
E01003232,19.10972262
E01003233,25.07778974
E01003280,17.56540051
E01003281,15.34820235
E01003285,20.40880707
E01003287,25.37422566
E01003292,33.52729567
E01003293,28.17013572
E01003295,22.24885869
E01033320,22.43652989
E01033322,27.94566443
E01003319,30.52571941
E01003320,17.0259059
E01003323,20.1324465
E01003325,28.34388892
E01003226,23.291935
E01003227,18.7568654
E01003228,26.49711656
E01003229,30.45666236
E01003230,18.96880386
E01003318,20.96297409
E01003321,39.73983091
E01003322,25.36232669
E01003324,38.61380457
E01003254,14.77873937
E01003255,25.08193342
E01003260,19.69772897
E01003261,19.88258789
E01003262,16.70305058
E01003217,23.55324273
E01003218,23.80201399
E01003220,24.60522281
E01003222,21.30796874
E01003224,24.79932623
E01003263,18.71112845
E01003268,13.8987931
E01003269,15.722164
E01003270,12.55373013
E01003271,15.97723402
E01003307,26.04503885
E01003308,24.69536838
E01003314,27.81328097
E01003315,21.00066443
E01003316,22.84533093
E01003216,26.72057524
E01003219,23.14551174
E01003221,24.86099794
E01003223,22.62214894
E01003346,27.35386948
E01003349,23.5474298
E01003351,19.10073408
E01003354,44.43991924
E01003309,16.40146063
E01003310,25.0823771
E01003311,20.26305531
E01003312,24.20628838
E01003313,18.64321719
E01003256,21.6238438
E01003257,18.43115218
E01003258,15.76588021
E01003259,31.58908619
E01003193,23.41296331
E01003194,11.21449995
E01003195,15.97124688
E01003196,17.36160015
E01003197,15.30665777
E01003347,25.28460176
E01003348,17.38204927
E01003350,11.12993687
E01003352,17.15343912
E01003353,19.07336244
E01003264,17.33504711
E01003265,12.0117937
E01003266,22.34505286
E01003267,36.16172015
E01003329,22.14115586
E01003330,10.43145906
E01003331,18.66816796
E01003332,21.91357174
E01003334,22.72027649
E01003189,21.82868802
E01003190,13.38030809
E01003191,22.92553786
E01003192,9.911159177
E01003326,24.78084121
E01003327,25.12209914
E01003328,19.5478269
E01003333,33.57647349
E01003335,23.27350498
E01003236,20.08681394
E01003237,26.91365187
E01003238,19.2155939
E01003239,22.72232867
E01032564,14.50949418
E01003235,9.17324422
E01003240,18.27940031
E01003241,14.05445733
E01003243,13.37405394
E01032565,22.50318022
E01003298,24.45552381
E01003300,27.83881291
E01003303,19.94232964
E01003304,30.64522239
E01032579,31.10758594
E01003288,22.33291569
E01033327,32.01354366
E01033341,22.18954476
E01003291,26.31960402
E01003290,23.45967116
E01004029,23.15619481
E01004032,27.26508584
E01004053,32.97210832
E01004054,23.66688511
E01004055,20.31809223
E01003929,44.04992923
E01003934,30.94902926
E01003935,33.7702813
E01003939,49.55348453
E01003975,22.66618765
E01004023,24.66343895
E01004028,31.08737651
E01003938,22.76272024
E01003940,25.17044743
E01003941,32.07252178
E01003942,37.51436187
E01003979,32.04568148
E01003981,40.11748135
E01004030,32.70942192
E01004031,19.62058245
E01004033,24.10124383
E01004034,12.33021628
E01004036,25.29912645
E01004056,24.5998437
E01004057,19.35689581
E01004058,16.27000506
