lsoa_code,road_density_km_per_sqkm,road_density,street_density_km_per_sqkm,edge_density_km_per_sqkm,n_nodes,n_edges,total_edge_length,avg_street_length,circuity_avg,status
E01000965,23.0788621531827,0.0230788621531827,11539.431076591378,23078.862153182763,12.0,26.0,2502.016540871284,96.2314054181263,1.0394277838615305,success
E01000966,1.3851195679934762,0.0013851195679934762,692.5597839967381,1385.1195679934763,4.0,6.0,179.0247614202445,29.837460236707415,1.0,success
E01000967,6.8578530461276,0.0068578530461276,3428.926523063813,6857.853046127625,12.0,24.0,2562.4101755749,106.7670906489542,1.0244870543830469,success
E01000968,6.3061763837089995,0.006306176383709,4501.95256873748,6306.176383709015,5.0,5.0,521.666592646089,93.10389187870662,1.0010126882709478,success
E01000969,16.174554685982198,0.0161745546859822,8358.702958188987,16174.554685982224,16.0,34.0,2714.5342519182805,77.93443303085554,1.007950431824631,success
E01000970,15.0669924878181,0.0150669924878181,7533.496243909098,15066.992487818196,6.0,12.0,1030.509594765223,85.87579956376858,1.0205780001078877,success
E01000971,25.2742161820378,0.0252742161820378,12637.10809101892,25274.21618203784,12.0,24.0,2067.5034408357697,86.1459767014904,1.006149851417804,success
E01000972,14.5032276129921,0.0145032276129921,7251.613806496087,14503.227612992168,16.0,30.0,2051.526420788756,68.38421402629187,1.0490387474598235,success
E01000973,13.0845352486334,0.0130845352486334,6953.087643387319,13084.535248633429,14.0,26.0,3036.7105354516743,115.2642855498242,1.127703968462164,success
E01000974,2.8993737770988,0.0028993737770988,1449.6868885494473,2899.3737770988946,2.0,2.0,331.1790096311836,165.5895048155918,1.000039334638002,success
E01001571,28.3732611520728,0.0283732611520728,14186.6305760364,28373.26115207282,20.0,50.0,4252.206332435969,85.04412664871933,1.003339932813915,success
E01001572,18.2466976662708,0.0182466976662708,9123.348833135424,18246.69766627086,17.0,38.0,3049.218918483316,80.24260311798196,1.0000553792674836,success
E01001573,14.0700636850005,0.0140700636850005,7035.031842500282,14070.063685000569,8.0,18.0,1946.0935308970804,108.11630727206,1.0008419324816873,success
E01001574,12.3199092417126,0.0123199092417126,6227.01164524,12319.909241712696,50.0,118.0,12401.490165296367,102.75813361309724,1.0410571958518464,success
E01001575,24.554502349521698,0.0245545023495217,12872.44463662387,24554.502349521703,53.0,102.0,5415.245701686436,52.57197618498539,1.029515850102831,success
E01001576,27.7746772988915,0.0277746772988915,14103.357903171493,27774.67729889159,48.0,105.0,6678.714203628179,63.98681529366559,1.0369815333135246,success
E01001577,26.0287229793391,0.0260287229793391,13014.361489669604,26028.7229793392,48.0,100.0,5437.35631391812,54.373563139181215,1.0568774568600665,success
E01001578,8.038137802065199,0.0080381378020652,4019.068901032632,8038.137802065263,19.0,36.0,2174.5632771552737,60.40453547653539,1.0694948845374803,success
E01001579,14.9402898745314,0.0149402898745314,7470.144937265701,14940.2898745314,25.0,52.0,3788.2710790380297,72.85136690457749,1.122113532094922,success
E01001580,14.433922785701,0.014433922785701,8197.638743453364,14433.922785701085,21.0,43.0,4361.013087365563,103.20020175293445,1.0285760320130302,success
E01001581,14.5524910723108,0.0145524910723108,7997.818293455265,14552.49107231086,19.0,34.0,3003.792007395768,78.61125941260039,1.077634332557996,success
E01001582,18.0620302487724,0.0180620302487724,9145.410091923368,18062.030248772444,20.0,48.0,6179.480066236176,125.15509847390824,1.126954164457494,success
E01001583,7.028785617930399,0.0070287856179304,4686.160797723484,7028.785617930417,22.0,36.0,2036.015459566436,56.55965072781018,1.0047486502728216,success
E01001584,8.8717694579473,0.0088717694579473,4435.884728973694,8871.769457947385,17.0,36.0,2907.049545327591,80.7513762590998,1.2029547159167662,success
E01001585,18.418498914323003,0.018418498914323,9209.2494571615,18418.498914323,18.0,36.0,3368.199303824548,93.56109177290408,1.0501299211337176,success
E01001586,19.3994357482449,0.0193994357482449,9729.655252156865,19399.43574824496,15.0,35.0,4103.81500785092,114.34669705285734,1.054836258929556,success
E01001587,18.240745637257998,0.018240745637258,9120.372818629014,18240.745637258024,19.0,42.0,4938.65896214619,117.58711814633789,1.036065267092936,success
E01001588,7.8011317247938,0.0078011317247938,3944.8235574434543,7801.1317247938,15.0,32.0,4039.499717092344,120.1568771303405,1.0699052668425928,success
E01001589,25.143343426068,0.025143343426068,12571.671713034,25143.343426068004,28.0,62.0,5316.244333252562,85.74587634278323,1.1819596805186363,success
E01001590,13.2717201653106,0.0132717201653106,6635.860082655301,13271.720165310606,9.0,20.0,2034.3033911232685,101.7151695561634,1.0450081386069274,success
E01001591,7.4914092190484,0.0074914092190484,3824.43019567256,7491.409219048402,11.0,23.0,1520.4080921857494,64.681806936883,1.0119266491554737,success
E01001592,10.966134505909201,0.0109661345059092,5483.06725295461,10966.13450590922,14.0,28.0,2681.982126407055,95.7850759431091,1.0222832216909024,success
E01001593,27.3873503072985,0.0273873503072985,13693.67515364925,27387.350307298504,26.0,58.0,5049.532263624871,87.06090109698052,1.0076859111963463,success
