lsoa_code,n_oas,population_density,population_density_median,population_density_min,population_density_max,population_density_sd,data_source,density_category
E01001650,0,NA,NA,NA,NA,NA,imputed,Very High
E01001651,0,NA,NA,NA,NA,NA,imputed,Very High
E01001652,0,NA,NA,NA,NA,NA,imputed,Very High
E01001653,0,NA,NA,NA,NA,NA,imputed,Very High
E01001654,0,NA,NA,NA,NA,NA,imputed,Very High
E01001655,0,NA,NA,NA,NA,NA,imputed,Very High
E01001656,0,NA,NA,NA,NA,NA,imputed,Very High
E01001657,0,NA,NA,NA,NA,NA,imputed,Very High
E01001658,0,NA,NA,NA,NA,NA,imputed,Very High
E01001659,0,NA,NA,NA,NA,NA,imputed,Very High
E01001660,0,NA,NA,NA,NA,NA,imputed,Very High
E01001661,0,NA,NA,NA,NA,NA,imputed,Very High
E01001662,0,NA,NA,NA,NA,NA,imputed,Very High
E01001664,0,NA,NA,NA,NA,NA,imputed,Very High
E01001665,0,NA,NA,NA,NA,NA,imputed,Very High
E01001666,0,NA,NA,NA,NA,NA,imputed,Very High
E01001667,0,NA,NA,NA,NA,NA,imputed,Very High
E01001668,0,NA,NA,NA,NA,NA,imputed,Very High
E01001669,0,NA,NA,NA,NA,NA,imputed,Very High
E01001671,0,NA,NA,NA,NA,NA,imputed,Very High
E01001672,0,NA,NA,NA,NA,NA,imputed,Very High
E01001673,0,NA,NA,NA,NA,NA,imputed,Very High
E01001674,0,NA,NA,NA,NA,NA,imputed,Very High
E01001675,0,NA,NA,NA,NA,NA,imputed,Very High
E01001676,0,NA,NA,NA,NA,NA,imputed,Very High
E01001677,0,NA,NA,NA,NA,NA,imputed,Very High
E01001678,0,NA,NA,NA,NA,NA,imputed,Very High
E01001679,0,NA,NA,NA,NA,NA,imputed,Very High
E01001680,0,NA,NA,NA,NA,NA,imputed,Very High
E01001681,0,NA,NA,NA,NA,NA,imputed,Very High
E01001682,0,NA,NA,NA,NA,NA,imputed,Very High
E01001683,0,NA,NA,NA,NA,NA,imputed,Very High
E01001684,0,NA,NA,NA,NA,NA,imputed,Very High
E01001685,0,NA,NA,NA,NA,NA,imputed,Very High
E01001686,0,NA,NA,NA,NA,NA,imputed,Very High
E01001687,0,NA,NA,NA,NA,NA,imputed,Very High
E01001688,0,NA,NA,NA,NA,NA,imputed,Very High
E01001690,0,NA,NA,NA,NA,NA,imputed,Very High
E01001692,0,NA,NA,NA,NA,NA,imputed,Very High
E01001693,0,NA,NA,NA,NA,NA,imputed,Very High
E01001694,0,NA,NA,NA,NA,NA,imputed,Very High
E01001695,0,NA,NA,NA,NA,NA,imputed,Very High
E01001696,0,NA,NA,NA,NA,NA,imputed,Very High
E01001697,0,NA,NA,NA,NA,NA,imputed,Very High
