lsoa_code,borough,imd_score,imd_quintile,lsoa_name,ptal_score,ptal_category,ptal_original,accessibility_index,ai_median,ai_min,ai_max,data_source,ptal_score_z,ai_z
E01001957,Hammersmith and Fulham,38.797,Q5_Most,Hammersmith and Fulham 002B,5,Very Good,5,20.6061691636,20.1251312544,19.1082629,22.8576294924,measured,0.6462057355992847,0.04574895554744744
E01001960,Hammersmith and Fulham,18.411,Q2,Hammersmith and Fulham 003D,3,Moderate,3,11.249397811,11.4517646505,7.35673190711,16.09708582,measured,-0.6428964992312065,-0.6489972948639393
E01032788,Hammersmith and Fulham,26.761,Q3,Hammersmith and Fulham 023D,3,Moderate,3,10.2118882199,10.432166748,7.9372848114,11.9794566486,measured,-0.6428964992312065,-0.7260330448058552
E01032789,Hammersmith and Fulham,17.108,Q2,Hammersmith and Fulham 023E,2,Poor,2,8.2926096656,8.6086387083200009,7.27768761551,8.99150267299,measured,-1.2874476166464521,-0.8685407035747522
E01032790,Hammersmith and Fulham,17.986,Q2,Hammersmith and Fulham 023F,2,Poor,2,8.35178645617,8.21889158003,7.21720176763,9.75256539559,measured,-1.2874476166464521,-0.8641467890704224
E01002694,Islington,42.957,Q5_Most,Islington 019A,4,Good,4,17.7972901788,16.4332750897,12.1211282784,26.7397013022,measured,0.0016546181840391264,-0.16281210349851113
E01002695,Islington,22.394,Q3,Islington 021A,6,Excellent,6a,30.3696465048,27.9431215221,19.3949523418,56.3517634022,measured,1.2907568530145304,0.7706933854324823
E01002696,Islington,20.191,Q2,Islington 020A,6,Excellent,6a,27.3887669894,27.4641487986,12.291086042,40.3970818065,measured,1.2907568530145304,0.5493611771086361
E01002697,Islington,31.847,Q4,Islington 019B,6.5,Excellent,6b,46.4790352377,41.5551294755,28.1972377417,64.8452556211,measured,1.6130324117221533,1.9668257901739719
E01002698,Islington,17.454,Q2,Islington 017A,5,Very Good,5,23.6373265282,24.2198834883,14.462125587,29.2567165587,measured,0.6462057355992847,0.27081432629390045
E01002699,Islington,19.741,Q2,Islington 017B,4,Good,4,15.9095029993,17.2645836526,7.97339564888,19.0459862845,measured,0.0016546181840391264,-0.30298150757055486
E01002700,Islington,13.447,Q1_Least,Islington 017C,3,Moderate,3,11.7251502556,11.4932598107,5.96166754189,21.2087049953,measured,-0.6428964992312065,-0.6136723719226455
E01002702,Islington,29.535,Q4,Islington 023B,5,Very Good,5,23.4180385592,25.6221007084,15.7042572592,27.9283684316,measured,0.6462057355992847,0.2545320545057003
E01002703,Islington,27.328,Q3,Islington 023C,6,Excellent,6a,35.5712926346,39.4753175855,18.1170791353,44.7669684889,measured,1.2907568530145304,1.1569189335903163
E01002704,Islington,22.281,Q3,Islington 023D,6.5,Excellent,6b,66.6662346998,71.572761263,37.0558823998,94.0106484191,measured,1.6130324117221533,3.4657382466276143
E01002708,Islington,29.96,Q4,Islington 015A,3,Moderate,3,14.573428928,16.7339879004,4.35935309355,24.3706332485,measured,-0.6428964992312065,-0.4021858609022861
E01002709,Islington,35.167,Q5_Most,Islington 019C,4,Good,4,18.9828236365,12.0359230143,7.81086951491,44.5381046791,measured,0.0016546181840391264,-0.07478548689796204
E01002710,Islington,30.958,Q4,Islington 019D,6,Excellent,6a,37.2435236457,45.1243840639,10.4827228919,60.8362033252,measured,1.2907568530145304,1.281083154452734
E01002711,Islington,21.801,Q3,Islington 021B,6.5,Excellent,6b,64.4449238096,63.465164544,54.5438955265,78.5746071429,measured,1.6130324117221533,3.300804493967772
E01002712,Islington,27.046,Q3,Islington 015B,5,Very Good,5,24.8098976715,24.0389302107,22.0771872811,28.8171199252,measured,0.6462057355992847,0.35787848276940326
