lsoa_code,road_density,street_density_km_per_sqkm,edge_density_km_per_sqkm,n_nodes,n_edges,total_edge_length,avg_street_length,circuity_avg,status
E01004575,0.0086309246933393,4358.6512626890735,8630.9246933393,30,62,4697.887070716245,74.13911363891222,1.058875774201138,success
E01004576,0.0070511440768871985,3525.572038443599,7051.144076887199,10,22,3100.9885250703596,140.95402386683452,1.0303680376846454,success
E01004577,0.017220490503246887,13805.484545728112,17220.490503246885,25,35,1987.2676754921843,56.898979024559495,1.037937772995349,success
E01004579,0.011067764258987565,5533.8821294937825,11067.764258987565,9,18,1301.5903833558314,72.31057685310174,1.0719197544469938,success
E01004580,0.01370627871490588,7658.428371454308,13706.278714905879,13,25,1489.1965942997915,64.00719242328852,1.0517695803292082,success
E01004581,0.008033795452380298,4369.9226646791085,8033.795452380298,10,16,893.4669573634708,53.99940414586292,1.010207342455891,success
E01004582,0.013967193361786598,7556.588423380726,13967.193361786598,10,19,1834.6359511590638,99.25822912695271,1.0888845651890642,success
E01004583,0.011182056304276588,5657.577807583387,11182.056304276588,22,43,1683.0268890258708,38.70590572568901,1.0093708282599092,success
E01004584,0.012464973195398603,6232.486597699302,12464.973195398603,8,14,647.4316160389999,46.24511543135714,1.062197653237952,success
E01004585,0.021265015409451075,11093.248623052561,21265.015409451076,17,35,2693.7509744341673,78.06888636521145,1.0609575438925303,success
E01004586,0.01652568152560851,8693.264017712521,16525.681525608506,9,14,1430.202849130464,94.0440107349671,1.0288510045871242,success
E01004587,0.020924925272573603,10462.4626362868,20924.925272573604,12,24,2239.70369848656,93.32098743693997,1.033315015918175,success
E01004588,0.00933829153374243,8123.855309109868,9338.291533742431,12,17,1560.2749373368304,113.11355140600544,1.0367697020879971,success
E01004589,0.0018220456599087839,911.0228299543919,1822.0456599087838,4,6,174.4321962961138,29.072032716018967,1.0000027462016914,success
E01004590,0.013099062325484762,6549.531162742378,13099.062325484761,15,30,1881.4513911858364,62.71504637286119,1.0033487329412925,success
E01004591,0.028834878807132473,14417.439403566239,28834.878807132474,25,50,3545.7945855287103,70.91589171057421,1.055584663059086,success
E01004592,0.03714218102835623,18571.090514178115,37142.18102835623,19,44,3565.5446461388783,81.03510559406543,1.0005030979332454,success
E01004593,0.018532871483654526,9266.435741827261,18532.871483654526,21,48,3997.452836585157,83.28026742885741,1.038682500802316,success
E01004594,0.02271489616013279,11357.4480800664,22714.89616013279,14,32,3266.5892944462103,102.08091545144411,1.0469415857022282,success
E01004595,0.0,,,0,0,0.0,,,error: The geometry of `polygon` is invalid.
E01004596,0.02241500573269655,12747.894579504926,22415.00573269655,13,29,2636.820199829126,93.72601309303519,1.0008769357494058,success
E01004597,0.019745347906237325,9872.673953118661,19745.347906237326,10,22,2741.7669048311864,124.62576840141755,1.0002633860103325,success
E01004598,0.03262538265037529,16312.691325187641,32625.382650375286,19,44,4665.859852154592,106.0422693671498,1.0256230256708068,success
E01004599,0.004911087141881458,2455.5435709407293,4911.087141881459,5,8,535.1036418922508,66.88795523653135,1.0,success
