lsoa_code,lsoa_name,borough,imd_score,imd_quintile,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,status,data_source
E01004487,Wandsworth 030C,Wandsworth,21.375,Q3,80,26.588211059570312,25.555419921875,10.981817874964069,2.57568359375,49.70703125,18.994140625,34.50469970703125,completed,measured
E01004488,Wandsworth 029B,Wandsworth,14.58,Q2,63,14.989071800595235,9.66796875,15.213441958763651,0.0,52.3193359375,0.341796875,28.2806396484375,completed,measured
E01004489,Wandsworth 030D,Wandsworth,26.942,Q3,80,19.880905151367188,21.1517333984375,14.238777328404504,0.0,52.3193359375,6.43463134765625,31.41937255859375,completed,measured
E01004490,Wandsworth 031A,Wandsworth,7.244,Q1_Least,62,3.1026532573084675,2.05078125,2.7698088638200886,0.177001953125,11.4013671875,1.25274658203125,4.15802001953125,completed,measured
E01004491,Wandsworth 031B,Wandsworth,14.207,Q1_Least,6,18.569647196165906,18.569647196165906,8.0,3.5696471961659064,33.5696471961659,13.569647196165906,23.569647196165906,insufficient,predicted
E01004492,Wandsworth 031C,Wandsworth,15.53,Q2,80,72.63931274414062,76.055908203125,14.754850521446178,23.52294921875,93.231201171875,64.1510009765625,84.49554443359375,completed,measured
E01004493,Wandsworth 019A,Wandsworth,13.604,Q1_Least,80,4.570159912109375,2.703857421875,7.404039936882912,0.0,42.24853515625,0.70648193359375,4.4464111328125,completed,measured
E01004494,Wandsworth 018A,Wandsworth,19.102,Q2,3,11.730590809547872,11.730590809547872,8.0,0.0,26.73059080954787,6.730590809547872,16.73059080954787,insufficient,predicted
E01004495,Wandsworth 024A,Wandsworth,23.496,Q3,80,2.12249755859375,0.238037109375,3.532934557680232,0.0,16.11328125,0.09307861328125,2.5787353515625,completed,measured
E01004496,Wandsworth 024B,Wandsworth,11.991,Q1_Least,80,7.694931030273437,4.5654296875,9.162846332093167,0.0,33.92333984375,0.52642822265625,10.02349853515625,completed,measured
E01004497,Wandsworth 024C,Wandsworth,16.446,Q2,80,28.37310791015625,28.2440185546875,6.62281720762464,0.701904296875,44.073486328125,24.3560791015625,31.79931640625,completed,measured
E01004498,Wandsworth 031D,Wandsworth,8.707,Q1_Least,80,19.608917236328125,8.8134765625,24.66695992571393,0.177001953125,90.24658203125,5.24139404296875,20.91064453125,completed,measured
E01004499,Wandsworth 020A,Wandsworth,13.847,Q1_Least,80,25.58090209960937,25.6744384765625,15.449682142413,0.01220703125,60.3759765625,13.726806640625,35.546875,completed,measured
E01004500,Wandsworth 014A,Wandsworth,10.92,Q1_Least,80,21.75140380859375,21.209716796875,19.122948841490057,0.0,52.191162109375,0.25634765625,40.58837890625,completed,measured
E01004501,Wandsworth 014B,Wandsworth,17.726,Q2,36,3.16162109375,0.213623046875,5.571774353770024,0.0,26.629638671875,0.01678466796875,4.69207763671875,completed,measured
E01004502,Wandsworth 020B,Wandsworth,9.379,Q1_Least,80,14.595947265625,15.4937744140625,9.57732481865537,0.0244140625,43.84765625,6.7779541015625,21.58966064453125,completed,measured
