lsoa_code,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,processing_time,timestamp,borough,imd_score,imd_quintile,__order
E01002762,100,22.78686523,19.0246582,15.62756634,0,67.08984375,12.67242432,29.15802002,19.52006078,2025-08-09T19:03:34.094448,Islington,20.717,Q2,20250809_190508
E01002763,100,18.35186768,15.97595215,13.29448128,0,67.08984375,7.806396484,26.06506348,15.19885421,2025-08-09T19:49:18.148443,Islington,33.113,Q4,20250809_194922
E01002769,100,15.12530518,12.44506836,10.99415112,0.415039063,47.83935547,6.376647949,21.81091309,21.16312551,2025-08-09T19:06:13.765708,Islington,20.118,Q2,20250809_190613
E01002779,100,7.557678223,1.251220703,10.50876713,0,35.16235352,0.096130371,12.46643066,17.14924979,2025-08-09T19:27:07.693380,Islington,18.595,Q2,20250809_192845
E01002789,80,13.63471985,12.04528809,10.7341032,0,44.27490234,4.57611084,21.1151123,21.53235412,2025-08-09T20:38:32.570916,Islington,13.703,Q1_Least,20250809_203939
E01002818,100,6.218139648,0.87890625,10.74957466,0,43.87207031,0.064086914,6.06842041,21.16007161,2025-08-09T19:35:54.033322,Kensington and Chelsea,12.656,Q1_Least,20250809_193817
E01002824,100,37.95159912,33.91418457,23.71647835,0,93.54858398,25.52185059,54.51660156,23.42935157,2025-08-09T19:03:13.266242,Kensington and Chelsea,10.045,Q1_Least,20250809_190508
E01002825,100,11.65838623,8.242797852,11.20203876,0,55.81665039,4.049682617,15.93933105,20.06357527,2025-08-09T19:05:29.128737,Kensington and Chelsea,9.697,Q1_Least,20250809_190613
E01002826,100,16.55279541,9.64050293,18.61480331,0,82.67211914,1.428222656,24.84283447,21.42430949,2025-08-09T19:26:28.972780,Kensington and Chelsea,10.756,Q1_Least,20250809_192845
E01002827,100,15.19433594,9.866333008,14.61658001,0,71.72851563,2.510070801,25.9262085,22.24314451,2025-08-09T19:29:28.534312,Kensington and Chelsea,12.075,Q1_Least,20250809_193222
E01002835,100,9.785705566,8.139038086,8.201453209,0,36.49291992,2.450561523,15.24353027,20.57922816,2025-08-09T19:43:28.004661,Kensington and Chelsea,10.461,Q1_Least,20250809_194428
E01002836,100,4.981994629,0.848388672,6.632675171,0,28.22875977,0,8.526611328,18.10291362,2025-08-09T19:45:06.588443,Kensington and Chelsea,11.093,Q1_Least,20250809_194548
E01002837,100,7.685424805,5.944824219,6.795581341,0.079345703,41.74194336,2.099609375,13.21868896,18.04195213,2025-08-09T19:46:23.819809,Kensington and Chelsea,13.106,Q1_Least,20250809_194731
E01002848,100,10.93377686,4.467773438,14.82157707,0,76.76391602,0.422668457,17.11730957,18.5099144,2025-08-09T19:50:36.158602,Kensington and Chelsea,29.533,Q4,20250809_195054
E01002880,100,7.428955078,3.820800781,9.899303436,0,58.46557617,1.815795898,7.99407959,18.45004511,2025-08-09T19:35:11.760884,Kensington and Chelsea,44.248,Q5_Most,20250809_193511
E01002893,100,7.550842285,3.060913086,10.23012543,0,43.98193359,0.160217285,10.27526855,13.99073315,2025-08-09T19:48:41.951551,Kensington and Chelsea,21.771,Q3,20250809_194922
E01002899,100,5.743835449,3.674316406,6.235425949,0,27.05688477,0.505065918,9.300231934,14.97001004,2025-08-09T19:50:17.646688,Kensington and Chelsea,21.45,Q3,20250809_195054
E01002912,100,10.18640137,6.948852539,9.358546257,0,37.98217773,2.659606934,16.16821289,19.52969861,2025-08-09T19:48:09.099323,Kensington and Chelsea,13.905,Q1_Least,20250809_194922
E01002914,100,14.1975708,10.7208252,13.01273155,0,79.07104492,5.018615723,18.8583374,18.90320969,2025-08-09T19:49:42.760777,Kensington and Chelsea,8.875,Q1_Least,20250809_195054
E01003032,100,25.38598633,14.86816406,26.68757248,0,94.59228516,0.581359863,46.45385742,15.36537886,2025-08-09T19:57:20.782833,Lambeth,31.549,Q4,20250809_195738
E01003039,100,26.23168945,7.455444336,30.68711853,0,97.82104492,0.378417969,47.4899292,19.87755489,2025-08-09T19:55:37.425815,Lambeth,10.643,Q1_Least,20250809_195622
E01003100,100,16.52148438,13.3392334,15.02697754,0,69.17114258,5.111694336,25.50354004,24.34557629,2025-08-09T19:30:13.038983,Lambeth,16.907,Q2,20250809_193222
E01003109,100,7.781494141,4.595947266,9.56662941,0,53.90625,0.772094727,9.991455078,21.81086135,2025-08-09T19:34:37.668543,Lambeth,27.59,Q4,20250809_193511
E01003113,100,34.40350342,25.49743652,29.21896172,0,90.51513672,8.711242676,60.07080078,15.73065448,2025-08-09T19:42:42.794788,Lambeth,23.176,Q3,20250809_194306
E01003122,80,11.27716064,4.629516602,13.17148304,0,51.22680664,0.073242188,20.30487061,15.95822906,2025-08-09T20:38:04.527000,Lambeth,25.76,Q3,20250809_203811
E01003127,80,13.88977051,7.250976563,13.61475277,0,51.72119141,2.722167969,22.35107422,18.89336896,2025-08-09T20:39:31.550477,Lambeth,26.097,Q3,20250809_203939
E01003137,100,30.0222168,30.5847168,14.65701389,2.923583984,65.5090332,18.64471436,40.68603516,17.61572552,2025-08-09T19:45:44.948469,Lambeth,29.29,Q4,20250809_194548
E01003162,100,30.8604126,30.859375,12.70880127,6.005859375,81.50024414,22.27630615,37.00256348,17.02129626,2025-08-09T19:48:27.958812,Lambeth,27.304,Q3,20250809_194922
E01003169,100,24.5668335,23.35205078,17.95684624,0,92.37060547,10.13641357,34.54742432,17.75558901,2025-08-09T19:50:02.674677,Lambeth,23.435,Q3,20250809_195054
E01003170,80,27.39959717,27.2277832,13.65365314,1.123046875,61.14501953,16.90368652,36.10992432,17.22842932,2025-08-09T20:46:09.080494,Lambeth,12.457,Q1_Least,20250809_204620
E01003170,80,26.69776917,26.74560547,12.77749729,2.166748047,67.76733398,18.36090088,33.73718262,10.78601289,2025-08-09T21:33:04.932805,Lambeth,12.457,Q1_Least,20250809_213316
E01003179,91,28.20763206,28.80249023,10.61454964,0.549316406,55.98144531,21.80175781,33.82568359,13.55461931,2025-08-09T19:53:36.071032,Lambeth,30.956,Q4,20250809_195356
E01003200,80,20.07507324,11.50817871,20.87636566,0.103759766,77.17895508,6.854248047,24.06768799,19.84035611,2025-08-09T20:44:36.774190,Lewisham,11.58,Q1_Least,20250809_204446
E01003202,80,15.70602417,18.24035645,11.99747562,0,39.29443359,2.632141113,26.02386475,16.00278807,2025-08-09T20:45:04.259458,Lewisham,9.192,Q1_Least,20250809_204515
