lsoa_code,image_id,gvi,method,model,vegetation_pixels,total_pixels,timestamp
E01002714,214554756767864,11.214637756347656,deeplearning,segformer,352782,3145728,2025-08-02T00:20:36.521019
E01002714,1345697383050394,1.7797470092773438,deeplearning,segformer,55986,3145728,2025-08-02T00:20:37.854143
E01002714,478681976671225,15.731461842854818,deeplearning,segformer,494869,3145728,2025-08-02T00:20:39.189793
E01002714,688029336154089,28.16632588704427,deeplearning,segformer,886036,3145728,2025-08-02T00:20:40.518293
E01002714,819569248648238,18.783696492513023,deeplearning,segformer,443163,2359296,2025-08-02T00:20:41.668357
E01002714,316034770915622,2.7403195699055987,deeplearning,segformer,86203,3145728,2025-08-02T00:20:43.006938
E01002714,4249180331780375,17.834557427300346,deeplearning,segformer,420770,2359296,2025-08-02T00:20:44.157571
E01002714,1033755624323380,1.1029879252115884,deeplearning,segformer,34697,3145728,2025-08-02T00:20:45.505007
E01002714,599299882401479,1.5548070271809897,deeplearning,segformer,48910,3145728,2025-08-02T00:20:46.837258
E01002714,989254282122518,0.44234593709309894,color_threshold,hsv_rgb,13915,3145728,2025-08-02T00:20:48.199143
E01002714,1373875759875400,4.192129770914713,deeplearning,segformer,131873,3145728,2025-08-02T00:20:49.528014
E01002714,794191905264765,14.96283213297526,deeplearning,segformer,470690,3145728,2025-08-02T00:20:50.855898
E01002714,170255205508078,18.087100982666016,deeplearning,segformer,568971,3145728,2025-08-02T00:20:52.194577
E01002714,1117959612409811,16.908899943033852,deeplearning,segformer,531908,3145728,2025-08-02T00:20:53.523795
E01002714,802226841909815,5.370044708251953,deeplearning,segformer,168927,3145728,2025-08-02T00:20:54.921937
E01002714,474614343793425,18.05326673719618,deeplearning,segformer,425930,2359296,2025-08-02T00:20:56.063843
E01002714,619862776884106,4.569689432779947,deeplearning,segformer,143750,3145728,2025-08-02T00:20:57.404885
E01002714,1957108884675866,12.111600240071613,deeplearning,segformer,380998,3145728,2025-08-02T00:20:58.769574
E01002714,390568066497459,20.264689127604164,deeplearning,segformer,637472,3145728,2025-08-02T00:21:00.114893
E01002714,842334246748507,23.535219828287758,deeplearning,segformer,740354,3145728,2025-08-02T00:21:01.454875
E01002714,3297317837173565,13.20810317993164,deeplearning,segformer,415491,3145728,2025-08-02T00:21:02.789831
E01002714,527886818206088,22.630521986219616,deeplearning,segformer,533921,2359296,2025-08-02T00:21:03.940767
E01002714,146762301304392,15.379587809244791,deeplearning,segformer,483800,3145728,2025-08-02T00:21:05.269590
E01002714,573922470889278,17.473220825195312,deeplearning,segformer,549660,3145728,2025-08-02T00:21:06.605596
E01002714,1049309767342836,0.4504203796386719,deeplearning,segformer,9446,2097152,2025-08-02T00:21:07.687437
